"행정구역(동읍면)별","항목",2019.04,2019.04,2019.04,2019.04,2019.04,2019.04,2019.04,2019.04,2019.04,2019.04,2019.04,2019.04,2019.04,2019.04,2019.04,2019.04,2019.04,2019.04,2019.04,2019.04,2019.04,2019.04
"행정구역(동읍면)별","항목",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+
"전국","총인구수 (명)",51836763,1928429,2324492,2312926,2755824,3378205,3437455,3159534,4039459,3881206,4557357,4323152,4335847,3629406,2440811,1904352,1620621,1065177,502688,174905,45483,19434
"서울특별시","총인구수 (명)",9766886,315945,364153,376638,467311,657609,800436,725825,810148,727944,851882,773419,776112,685755,474120,376423,291545,171058,76696,29065,8790,6012
"부산광역시","총인구수 (명)",3431750,113981,134568,129463,162282,219071,222882,193386,254538,238851,283593,280290,310574,288489,205588,154619,122045,71289,31200,10765,2558,1718
"대구광역시","총인구수 (명)",2454154,87105,105492,108107,137075,168560,159749,135824,178113,179909,219806,216219,215242,174153,123304,89343,77478,48153,21574,6800,1498,650
"인천광역시","총인구수 (명)",2956700,112896,135211,133277,155578,197080,212186,187766,241465,228005,264208,256876,260064,201965,121532,93171,73390,47431,22943,8588,2209,859
"광주광역시","총인구수 (명)",1458940,56397,72847,75372,93715,110428,96223,83551,114403,114061,131876,121080,111698,87722,60214,48842,38967,24465,11669,3987,1045,378
"대전광역시","총인구수 (명)",1485509,56924,69379,71176,86625,108720,105165,92257,113638,112839,133772,124096,120242,98865,63291,46913,38855,25214,11994,4204,1014,326
"울산광역시","총인구수 (명)",1152293,49089,57857,54904,64405,77207,74307,69660,94428,88264,104527,107777,103505,79538,48589,31539,23411,13846,6499,2255,526,160
"세종특별자치시","총인구수 (명)",324417,21480,24138,21217,16767,16181,18664,24445,35261,31912,28707,21092,18905,15484,9860,6904,5922,4207,2237,818,161,55
"경기도","총인구수 (명)",13129508,543730,656867,642794,731185,860511,893928,837803,1102218,1065197,1220795,1114033,1056567,820377,506674,395495,322831,210831,98953,35615,9361,3743
"강원도","총인구수 (명)",1540794,49136,62142,65216,82656,97202,84069,75071,98414,103250,128100,128639,143031,129937,82608,69660,66627,44254,20201,7763,2069,749
"충청북도","총인구수 (명)",1599488,60004,72012,71812,86175,103558,96871,89513,113952,112639,133526,135646,137616,120268,78470,60348,58015,41241,19220,6549,1507,546
"충청남도","총인구수 (명)",2125912,84532,101992,99525,111965,126008,121168,123458,162204,154494,175289,167895,172654,147647,104935,84008,80551,63000,31159,10106,2510,812
"전라북도","총인구수 (명)",1829273,60823,80361,83642,103748,118474,97109,86624,117628,125221,153362,150237,155375,134824,101236,83995,78424,57043,28441,9589,2334,783
"전라남도","총인구수 (명)",1873183,63880,79069,79454,100548,112471,91407,83961,116800,119823,149211,155713,164084,141508,107964,96079,94958,68232,33649,10535,3046,791
"경상북도","총인구수 (명)",2670375,93860,111075,108220,133322,155938,140217,135063,179984,177969,217815,224827,243206,212367,158725,117552,118050,84080,40497,13548,3165,895
"경상남도","총인구수 (명)",3368933,130458,162221,157648,183874,206495,183908,179895,254929,249652,298665,288996,293712,247006,166199,125323,109639,76720,37967,12356,2570,700
"제주특별자치도","총인구수 (명)",668648,28189,35108,34461,38593,42692,39166,35432,51336,51176,62223,56317,53260,43501,27502,24138,19913,14113,7789,2362,1120,257
